id,genre,name,artist,valence,energy
53Pgsvu3qSYO2aXt5J2vcL,acoustic,Lego House,Ed Sheeran,0.565,0.637
6G0MfBXF1QlLpgP8pKngzs,acoustic,Shoreline - Radio Version,Anna Ternheim,0.201,0.108
53rVYwGiKUC3gYX8SQQYYU,acoustic,Something In The Way,Nirvana,0.103,0.347
1J4YoubtTxLuoKBzRIzHvv,acoustic,Taylor,Jack Johnson,0.569,0.729
6jQlAObMMtULuYctlVjCLg,acoustic,No Aphrodisiac - Original,The Whitlams,0.636,0.607
2bkobNV1AyahJ2sbGriUyW,acoustic,Fields of Gold (feat. Eva Cassidy),Michael Bolton,0.236,0.109
7AYoXqCtME90flUOpBJM7i,acoustic,Society,Eddie Vedder,0.295,0.329
1WbYFNSUNn9fP1x0Z5DU95,acoustic,Riptide,MisterWives,0.362,0.677
2PVU8zHILp6jK4Q7W6rkz8,acoustic,We Can't Stop (feat. Bea Miller),Boyce Avenue,0.36,0.347
4cNjkFy1U24mrlbdHcc2Vq,acoustic,Waterfalls,ortoPilot,0.837,0.532
4Roqb07dEs3cP9FCsjqO7j,acoustic,You Learn,Takida,0.37,0.558
70zapGEw5KQiHBhjNcGjzo,acoustic,Little Hell,City and Colour,0.186,0.415
6Pw4WKCH1bfULx3vrxYMwe,acoustic,Moves Like Jagger,Tyler Ward,0.962,0.659
5JTfeJV7rM0Ku4Yg2boOhz,acoustic,Serpentine - Radio Edit,Chris Bathgate,0.149,0.146
1siB1tZUrkVyC0HiGHzeCn,acoustic,Say Yes,Elliott Smith,0.418,0.0875
10XX3YDY7X0jQfwjpveRvh,acoustic,Make You Feel My Love,ortoPilot,0.292,0.212
2I2kwyKgiiig05zX4PCSlx,acoustic,Billie Jean - Live,The Civil Wars,0.442,0.174
0EFEkt29P7Icr7dO4vN6yk,acoustic,Walk on the Wild Side,Lou Reed,0.376,0.262
0gw9t8io80CCz8XuH440PC,acoustic,How We Do (Party) - Live from Spotify NYC,Rita Ora,0.866,0.575
5jclmAX2XQp5G3b6K30UJl,acoustic,Clairvoyant,The Story So Far,0.137,0.352
71Qc66ucEtfXYUj6U2it9l,acoustic,Don't Stop Believin',Boyce Avenue,0.302,0.234
24rFwAcC6eqPvyMuPynVGH,acoustic,Home / Dirty Paws,Gardiner Sisters,0.232,0.208
3guR6HQDbOhJq5r3AcEgBE,acoustic,Erase and Detach,Isbells,0.0927,0.0301
0SuG9kyzGRpDqrCWtgD6Lq,acoustic,Give Me Love,Ed Sheeran,0.11,0.328
1ZmbLKxfrWh2ejFjiZxZPW,acoustic,Better Off - Live From Spotify London,HAIM,0.419,0.702
0MTHQlWgo6iCNjXgM5Z9fr,acoustic,I Gave You All,Mumford & Sons,0.0557,0.296
4I1BlAeZK4UBSCKoaz8vQS,acoustic,If I Had a Boat,James Vincent McMorrow,0.179,0.295
7EmbQ8h0QUR52Jwo3S3eHH,acoustic,Daylight,Boyce Avenue,0.0386,0.602
341863z079BT4EFPiSw9DP,acoustic,The Call,Regina Spektor,0.302,0.101
3Y9jrkxzLcc7zI863QxH2r,acoustic,"You Need Me, I Don't Need You - Live Ustream",Ed Sheeran,0.798,0.566
3cnRYoW4nYzIuVPCp7k5iG,acoustic,Breakdown,Jack Johnson,0.443,0.394
4AFBHrMN93QKtyQP5Pmz1t,acoustic,Perfect,Various Artists,0.598,0.432
2G5AbiKbJjNJGFSpUtwsiH,acoustic,Lovers Who Make Love,Ciaran Lavery,0.132,0.232
6Zewjs7at1sPyc03lUoAHB,acoustic,Save Your Scissors,City and Colour,0.567,0.647
10FsLlEMV60mFgzZHpEmQb,acoustic,Old Pine - EP Version,Ben Howard,0.278,0.354
5KL4iZkCTZyXl7KnHgfVDj,acoustic,"You Need Me, I Don't Need You",Ed Sheeran,0.927,0.837
6o6O9tWAgi1ANwKxPaq1R0,acoustic,The A Team,Gavin Mikhail,0.38,0.375
1Er5JMNcguoBMFXxwZ7BWH,acoustic,White Winter Hymnal,Fleet Foxes,0.649,0.534
2Uj2BjZXVv9WvYFEVl8TDi,acoustic,Silent Way,Milo Greene,0.0605,0.296
3sddYhFkEkyioYzyTfo3Kw,acoustic,The Blower's Daughter - Live from Union Chapel,Damien Rice,0.117,0.137
7hR5toSPEgwFZ78jfHdANM,acoustic,Half of My Heart,John Mayer,0.731,0.593
4Mf6w0cowyBNcu2aoVC9GX,acoustic,Never Let You Go,Justin Bieber,0.62,0.802
4Pl8ViAolRF4rK8QBMhKd9,acoustic,Redemption Song,Bob Marley & The Wailers,0.698,0.259
2QaaXYzEzLio3POCFCI19r,acoustic,Machines,Biffy Clyro,0.31,0.337
20p75WXHObYQcvc1ffp7ik,acoustic,Trololo Song,Mr. Trololo,0.636,0.613
14rApQTKycs9gNg7hjm9m7,acoustic,White Blank Page,Mumford & Sons,0.299,0.398
5eu01accYawhzzeZRAcwY6,acoustic,You're Beautiful (Clean Version),Chester See,0.213,0.321
0Ff2HEyq4Ja4Acb0n180DP,acoustic,Be Alright,Justin Bieber,0.753,0.357
5Szn0p3DlnawyuhX8ULCg4,acoustic,Orange Sky,Alexi Murdoch,0.125,0.15
2voFmcVmg8HJIjKtVrdXjj,acoustic,Say Something (feat. Carly Rose Sonenclar),Boyce Avenue,0.0948,0.127
7jPumBvn7m7l3nolkML3cZ,acoustic,Love The Way You Lie - Part III (Original Demo),Skylar Grey,0.232,0.248
6ERQqdIkr7Rp4tt52Eep6r,acoustic,The Look Of Love,Diana Krall,0.366,0.266
6HJujxcjMmVZhd8z5EpPri,acoustic,Where Did You Sleep Last Night,Nirvana,0.344,0.565
1xcxzCeF86LD3mFh36Ou4S,acoustic,Whataya Want from Me - Live at ENERGY Berlin 103.4,Adam Lambert,0.244,0.325
7iBSkXB0pTvZasOLf0Qxk9,acoustic,Autumn Leaves - Deluxe Edition,Ed Sheeran,0.431,0.257
1gojE07n4tbREqy09rsBv1,acoustic,We Found Love,Alex Goot,0.303,0.74
5gBIDzjs9bdZ1z8ZBGFzrv,acoustic,Perfect Day - Live,Lou Reed,0.146,0.321
6d0wEqM0jJTNv1asKflGGi,acoustic,Take Me to Church - Live From Spotify London,Hozier,0.287,0.217
0KTsmr6JOuhxZuiXUha1xC,acoustic,Beauty And A Beat,Justin Bieber,0.662,0.845
0hqnVPTK2zzWRcAJH3nx76,acoustic,Briane,Boyce Avenue,0.369,0.893
0oqN2WjjVI78IObu5y2uAq,acoustic,Try,Sam Tsui,0.37,0.315
2nGFzvICaeEWjIrBrL2RAx,acoustic,Put Your Records On,Corinne Bailey Rae,0.542,0.511
5VFzIzR8nACf9Bad4O73f6,acoustic,Hurt,Johnny Cash,0.157,0.292
1GC5vddt7fLU5B93XUL9NX,acoustic,We Found Each Other In The Dark,City and Colour,0.209,0.33
574GJ55EBM79W6n2V5bL5z,acoustic,Slow It Down,The Lumineers,0.108,0.064
37928J06bQreiIuhZvRlWQ,acoustic,When the Lights Die,Boyce Avenue,0.264,0.749
0O36Yqb2aFcThBphczYoAY,acoustic,A Drop In The Ocean,Ron Pope,0.473,0.452
6Xz1aikik2Qy81JXxpHvNB,acoustic,Utan dina andetag,Carolina Wallin Pérez,0.153,0.238
2qppEPX84bYQmgBjCeF8FO,acoustic,Love Is All,The Tallest Man On Earth,0.354,0.254
3piY5aMfwEEmXMV6I9kpoi,acoustic,Imagine,Various Artists,0.374,0.179
5lxNrjf5UJhcsd8zx9AB1Y,acoustic,Home,Johnnyswim,0.524,0.628
7m2VsHmjyXZegtndWPgxOw,acoustic,Wonderwall,Ryan Adams,0.301,0.22
2f3pT7xCMaNUL3jWNZDSto,acoustic,Pennyroyal Tea,Nirvana,0.0393,0.457
1nuqzCMgj2lxZCmpdCmIGv,acoustic,A Lack of Color,Various Artists,0.357,0.337
7GILkDXz9y9x5KPHBKdrHA,acoustic,Spring för livet,Sara Varga,0.598,0.572
0HLWvLKQWpFdPhgk6ym58n,acoustic,Who Says,John Mayer,0.367,0.509
6m0qBDIhzICOwWMPZdgyVK,acoustic,Crazy in Love,Daniela Andrade,0.489,0.326
4JKHACLkotsxdKNF9vJYOS,acoustic,Nothing Arrived - Live from Spotify London,Villagers,0.42,0.415
3F9HXYYjFhe5OJunn5xsPw,acoustic,Hero,Family of the Year,0.248,0.519
5mb6SzBnxv1ywFSH9V3uxd,acoustic,Delicate,Damien Rice,0.147,0.144
72MXQsTad1er96t2mgVM01,acoustic,Walking On A Dream,Alex Cornell,0.235,0.272
4OfjX48ZacUS6Noi2KIXbS,acoustic,Rolling In The Deep (Acapella),Adele,0.476,0.142
5N4NFz7R3iNUWBYoetcnCz,acoustic,A Thousand Miles (feat. Alex Goot),Boyce Avenue,0.259,0.731
1Eo4i29XyJeCLf3j551GvN,acoustic,Boyfriend,Tyler Ward,0.845,0.598
3AkxSspcYOvhWTkaMvqyaD,acoustic,Volcano,Damien Rice,0.437,0.289
6mFzy1Jha9RSCcQAJZ1M6y,acoustic,Gangnam Style,Jayesslee,0.591,0.391
6akbXZeXdrWWsG77ZD3cuD,acoustic,Believe,Justin Bieber,0.508,0.847
23QU0JCDAZ8SzjzcIy4tLI,acoustic,You Give Me Something - Live on Later With Jools Holland,James Morrison,0.415,0.447
4Ljd15LovCmrdLiRGuyH3d,acoustic,Airplanes (feat. DeStorm Power),Boyce Avenue,0.544,0.663
1uXHWnZ85lhAf19DRzU3Oz,acoustic,Walking Aimlessly,Anna Ternheim,0.344,0.302
2ZaYFNn1YQuLSVdHhanr4Q,acoustic,Only You,Joshua Radin,0.831,0.255
451GvHwY99NKV4zdKPRWmv,acoustic,Banana Pancakes,Jack Johnson,0.615,0.375
13ETkZ90sElK5xJuB4cUEt,acoustic,Bonfire Heart,James Blunt,0.449,0.821
7bcP9k51f1VNCaFUyZ3P5M,acoustic,Life for Rent,Dido,0.159,0.533
4dHEQ1W1jRmNjjB0S7vB8V,acoustic,re:stacks,Bon Iver,0.304,0.0813
4VJgrWjrkodaGiq3xKz62z,acoustic,Sometimes (I Wish),City and Colour,0.135,0.467
1MUQ6LtYIw6sSGQJEoIi2X,acoustic,Roll Away Your Stone,Mumford & Sons,0.181,0.547
65n5737O8JVOzgy8wQawyi,acoustic,All That Matters,Justin Bieber,0.17,0.521
0VZ9xPNa6ROafP6GYYuv2S,acoustic,Marry Me,Train,0.492,0.269
2GV0MbkEK3AijGJNBtAbQG,acoustic,Four Seasons In One Day,Various Artists,0.33,0.123
06DLzTZK8gtAlU5rdInzFB,afrobeat,Sirata,Habib Koité,0.919,0.705
3cUrKpJtOt9Vck53Ejn8Vi,afrobeat,Soya,Ali Farka Touré,0.786,0.579
7j05qZv5fZc4drPs8lFHkc,afrobeat,This Little Light Of Mine / M'Lilo Vutha Mathanjeni / If You Ever Need The Lord,Soweto Gospel Choir,0.664,0.787
7ceisg9MpCeJoLaoPfyu0V,afrobeat,Tonga,Joey B,0.538,0.645
03tyyOcWAjmBB6XjdxF0w3,afrobeat,Sina Makosa,Les Wanyika,0.711,0.669
1B3ldNdbseBCPOxiyXZ11V,afrobeat,Agyeiii - Original Killbeatz Mix,R2Bees,0.566,0.789
1PTGzgjNWP4upVlCp95I6i,afrobeat,Ara,Brymo,0.611,0.901
6S1cd5F5cpflZq6bAXQmg1,afrobeat,Nomvula (After the Rain),Freshlyground,0.418,0.295
6ixbshqPYUopboiy5g3kxd,afrobeat,Oleku,Various Artists,0.811,0.718
1rVyxy6CRo3dB5z5oNKZfc,afrobeat,Swagger,Ruff-N-Smooth,0.915,0.78
1r8V85iUIeGJ5LOFcYbyEo,afrobeat,Umhome,Miriam Makeba,0.561,0.0278
2pfHT1jlF2OaRaKYNjRfqs,afrobeat,Aluguntugui,Various Artists,0.78,0.837
0iF9eGx9US66wEA1LpKuPl,afrobeat,Sigi Kuruni,Oumou Sangaré,0.967,0.52
6DwUYbXbVUiOZkdFiReBF1,afrobeat,Obe (Stew),Fela Kuti,0.844,0.866
0XI9lbqgooxei1HiqS5Ytw,afrobeat,Dance for Me (feat. Wizkid),Various Artists,0.399,0.834
3N4gUEMXtxvDhPo5ifI5uX,afrobeat,Spirit of the Forest,Baka Beyond,0.968,0.568
3DPSXi2MVdxkOXyKpvdAib,afrobeat,Please wait,Youssou N'Dour,0.72,0.651
5wIU4rRNllpmY4yO77x3KP,afrobeat,Saye Mogo Bana,Issa Bagayogo,0.792,0.666
0aJDMCHtiZteQTN9dc1Ulb,afrobeat,Iva,Various Artists,0.967,0.682
5JetF2yqEh2GZBu5J5oe2t,afrobeat,Muchana (Zouk Love),Kanda Bongo Man,0.879,0.766
45ju38jQF05HOm1sInyFHG,afrobeat,Jambo Bwana,Them Mushrooms,0.838,0.575
2wkoeulxiywQoKtniBbTHJ,afrobeat,Alane - Radio Version,Wes,0.961,0.773
24xmFCREF5JiqKBhLHqgKL,afrobeat,King of Kings,Ladysmith Black Mambazo,0.392,0.0522
6YoOZM5pJhPB3pOfELzsx8,afrobeat,Sankara,Cheikh Lô,0.375,0.182
5sje4m7tHVMFjX6x0kGowh,afrobeat,Mandjou,Salif Keita,0.763,0.643
6gVUMrxSqqqaaYZsKXyuMY,afrobeat,Chantez Chantez,Amadou & Mariam,0.676,0.868
2nOA0eWaCLdMuRQ0UVitoJ,afrobeat,Be Mankan,Ali Farka Touré,0.483,0.206
4bi73jCM02fMpkI11Lqmfe,afrobeat,Ai Se Eu Te Pego - Live,Michel Teló,0.834,0.937
1D7QWJ0nQ4OrLHnEJEYOhC,afrobeat,4-4-44,Youssou N'Dour,0.468,0.77
4M90HjffovjuEZS0LdlIks,afrobeat,Icole,Oliver N'Goma,0.924,0.712
1GgN74Dc6q8ismmouWVkLo,afrobeat,Beaux Dimanches,Amadou & Mariam,0.435,0.699
5rOHTPNcHiwhQYqNBpRW2x,afrobeat,1er Gaou - Version originale,Magic System,0.943,0.86
4AVIdds2A4E4UsZcVU0Uso,afrobeat,I Wish You Were Here,Alpha Blondy,0.58,0.566
2wqaekenSQZm7hxQOYt8oE,afrobeat,Am I Wrong,Nico & Vinz,0.76,0.68
7r80QSqVFDPCC6S3BZdsIS,afrobeat,Ifunanya,P-Square,0.942,0.767
0JRBZ5RZGLhZKUoDIgaxQc,afrobeat,Amidinine,Bombino,0.699,0.862
